depth
0.027568
0.021916
0.017375
0.012833
0.0049605
-0.004022
-0.011995
-0.017546
-0.02774
-0.02885
-0.035612
-0.039044
-0.040154
-0.034502
-0.02663
-0.020978
-0.011995
-0.0018016
0.0095023
0.021916
0.029789
0.037661
0.045634
0.047855
0.050075
0.050075
0.045634
0.039982
0.03322
0.026458
0.025247
0.019696
0.015154
0.011723
0.010612
0.010612
0.010612
0.012833
0.014044
0.016264
0.024137
0.03211
0.038872
0.045634
0.050075
0.053507
0.055727
0.055727
0.054617
0.052396
0.048965
0.047855
0.041093
0.035441
0.028678
0.021916
0.012833
0.0072819
-0.00069142
-0.009674
-0.011995
-0.011995
-0.014216
-0.0085638
-0.0063434
-0.00069142
0.0016299
0.010612
0.017375
0.019696
0.023027
0.025247
0.026458
0.023027
0.015154
0.0049605
-0.0018016
-0.014216
-0.019868
-0.02885
-0.036823
-0.042374
-0.048026
-0.053678
-0.05711
-0.062762
-0.064982
-0.064982
-0.062762
-0.056
-0.050348
-0.033392
-0.02774
-0.018757
-0.011995
-0.009674
-0.0063434
-0.0051322
-0.0051322
-0.0074536
-0.009674
-0.010784
-0.014216
-0.020978
-0.02552
-0.031172
-0.034502
-0.033392
-0.037934
-0.042374
-0.044696
-0.042374
-0.039044
-0.037934
-0.02885
-0.024409
-0.016436
-0.009674
-0.004022
-0.004022
-0.00069142
-0.00069142
-0.0018016
-0.0063434
-0.0085638
-0.011995
-0.015326
-0.017546
-0.018757
-0.024409
-0.02663
-0.02996
-0.034502
-0.043586
-0.046916
-0.050348
-0.052568
-0.051458
-0.048026
-0.042374
-0.034502
-0.02663
-0.024409
-0.018757
-0.017546
-0.015326
-0.014216
-0.011995
-0.009674
-0.010784
-0.009674
-0.010784
-0.010784
-0.014216
-0.017546
-0.020978
-0.023198
-0.02552
-0.024409
-0.024409
-0.022088
-0.017546
-0.013106
-0.009674
-0.0036183
0.0008225
0.0053642
0.0053642
0.0053642
0.0019327
0.0019327
0.0008225
-0.0036183
-0.0070499
-0.0092703
-0.012702
-0.017244
-0.021684
-0.024006
-0.031878
-0.03753
-0.043182
-0.049944
-0.057816
-0.064579
-0.064579
-0.06801
-0.065689
-0.064579
-0.061248
-0.057816
-0.049944
-0.048834
-0.042072
-0.03864
-0.030768
-0.025116
-0.024006
-0.022895
-0.019868
-0.021684
-0.025116
-0.026226
